audio_path,caption
1oaaSrDJimABpOdCEbw2DJ.npy,[0:00-10:00] This pop song features a male voice singing the main melody. This is accompanied by percussion playing a simple beat. The bass plays the root notes of the chords. A synth plays a repetitive melody in the background. The keyboard plays arpeggiated chords. There are no other instruments in this song. The mood of this song is romantic. This song can be played in a romantic movie. [10:00-20:00]  [20:00-30:00] 
70XtWbcVZcpaOddJftMcVi.npy,[0:00-10:00] This is a dance-pop music piece. There are two female vocalists singing melodically. The keyboard is playing the main tune while the bass guitar is playing in the background. The rhythm is provided by an electronic drum beat. The atmosphere is easygoing. This piece could be used in the soundtrack of a romantic comedy movie. [10:00-20:00]  [20:00-30:00] 
1qGmxIGEuBEkj7bft72Kh0.npy,[0:00-10:00] This is a heavy metal music piece. There is a male vocalist singing melodically in the lead. The main tune is being played by the electric guitar while the bass guitar is playing in the background. The rhythmic background consists of a loud acoustic drum beat. The atmosphere is rebellious and aggressive. This piece could be used in the soundtrack of an action-filled video game. [10:00-20:00]  [20:00-30:00] 
1J2tfINpEHRhCP8CUS15lE.npy,[0:00-10:00] This is a hip-hop music piece. There is a male vocalist singing melodically in the lead. The melody is being played by the keyboard while the bass guitar is playing a simple bass line in the background. The rhythm is provided by an electronic drum beat. The atmosphere is groovy. This piece could be used in the soundtrack of a crime movie or a TV show. [10:00-20:00]  [20:00-30:00] 
0rXZu998CXslEpwhxdHzeu.npy,[0:00-10:00] This is a jazz music piece. There is a saxophone playing the solo in the lead. The piano and the upright bass are playing a groovy melody. The rhythmic background consists of a jazz acoustic drum beat. The atmosphere is sophisticated. This piece could be playing in the background at a coffee shop. [10:00-20:00]  [20:00-30:00] 
5uQ2MctOg8mvtasub2fYIq.npy,[0:00-10:00] This is a heavy metal music piece. There is a female vocalist singing melodically in the lead. The main tune is being played by the electric guitar while the bass guitar is playing in the background. The rhythm is provided by a simple acoustic drum beat. The atmosphere is easygoing. This piece could be used in the soundtrack of a teenage drama TV series as the opening theme. [10:00-20:00]  [20:00-30:00] 
3Z0rvpVDOmERviiXq8TRyf.npy,"[0:00-10:00] A male singer sings this cool melody with backup singers in vocal harmony. The song is medium tempo with a groovy drumming rhythm, keyboard accompaniment, percussive bass line and various percussion hits. The tune is groovy and exciting. The audio quality is poor. [10:00-20:00]  [20:00-30:00] "
5eJ0DG8hnSZkSixPVQvNDl.npy,"[0:00-10:00] A male vocalist sings this romantic song. The tempo is medium with a keyboard accompaniment, steady drumming, steady bass line and acoustic guitar rhythm. The song is simple, mellow, tender, sentimental, emotional and mellow. This song is a Soft Rock. [10:00-20:00]  [20:00-30:00] "
6vcdzohhBSbNdsZBh5IRpQ.npy,"[0:00-10:00] This is a pop music piece. There is a male vocalist singing melodically in the lead. The keyboard is playing the main tune while the electric guitar and the bass guitar are playing in the background. The rhythm is provided by a slow tempo acoustic drum beat. The atmosphere is easygoing. This piece could be used in the soundtrack of a romantic comedy movie, especially during the scenes where a character is reminiscing the good memories. [10:00-20:00]  [20:00-30:00] "
0YENB7i8JsiYrGnioZkyq2.npy,[0:00-10:00] This is a gospel music piece. There is a female vocalist singing melodically in the lead. The melody is being played by the keyboard and the electric guitar while the bass guitar is playing in the background. The rhythm is provided by a simple acoustic drum beat. The atmosphere is religious. This piece could be used in the soundtrack of a gospel movie. [10:00-20:00]  [20:00-30:00] 
2AWJyLujBXg9wvlVoRLdpT.npy,"[0:00-10:00] A male vocalist sings this energetic pop song. The tempo is fast with piano accompaniment, bright digital drumming, synthesiser arrangements and groovy bass lines. The song is youthful, fresh, catchy, vivacious, upbeat, sprightly and buoyant with a dance groove. This song is a Hip-Hop Pop song. [10:00-20:00]  [20:00-30:00] "
3R9ZAWuERsqNapDtUiu6Sp.npy,"[0:00-10:00] The low quality recording features a cover of a rock song that consists of a passionate male vocal singing over punchy kick and snare hits, shimmering cymbals, distorted electric guitar melody and groovy bass guitar. It sounds energetic, aggressive and upbeat. [10:00-20:00]  [20:00-30:00] "
