audio_path,caption
1oaaSrDJimABpOdCEbw2DJ.npy,"[0:00-10:00] The song uses programmed percussion, a synth, and a bass. There is also a siren sound playing in the background. The rhythm of the song is maintained by the acoustic drum that is holding a steady groove without many changes. The song has a romantic mood. The song starts with a male vocal singing over a mellow piano melody, punchy kick and snare hits, shimmering hi hats and soft kick hits. Yes, there are backup singers who provide vocal harmony in the song. [10:00-20:00]  [20:00-30:00] "
70XtWbcVZcpaOddJftMcVi.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering shakers, synth keys melody and groovy bass. The rhythm of the song is provided by the acoustic drum beat. The mood of the song is sweet, youthful, simple, romantic, sentimental, melancholic and pensive. The song sounds like something kids would listen to. Yes, there are backup singers in vocal harmony in the song. [10:00-20:00]  [20:00-30:00] "
1qGmxIGEuBEkj7bft72Kh0.npy,"[0:00-10:00] The song uses acoustic drums, an e-bass, and e-guitar. The song has a fast, intense, and energetic feel due to the use of acoustic drums, e-bass, and e-guitar. The song has a high-energy and intense mood, especially with the loud groove of the drums and the screaming vocals. The song may be playing in a car racing video-game. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
1J2tfINpEHRhCP8CUS15lE.npy,"[0:00-10:00] The song features a funky electric guitar melody, groovy bass, punchy kick and snare hits, shimmering hi hats and groovy synth keys melody. The rhythm section of the song is made up of a punchy kick and snare hits, shimmering hi hats and groovy bass. The mood of the song is groovy, funky and passionate. The song sounds like something you would hear in clubs. Yes, there are backup singers in vocal harmony in the song. [10:00-20:00]  [20:00-30:00] "
0rXZu998CXslEpwhxdHzeu.npy,"[0:00-10:00] The song uses shimmering chime bells, shimmering hi hats, mellow piano chords, and a groovy bass. The song has a medium tempo and is accompanied by a groovy bass line, steady drumming rhythm, and keyboard accompaniment. The song has a soft, mellow, passionate, and emotional mood. The initial part of the song builds up to the section that's most alive and layered. No, there are no voices or other instruments in the song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
5uQ2MctOg8mvtasub2fYIq.npy,"[0:00-10:00] The song uses acoustic drums, an e-bass, and two e-guitars. The song has a four on the floor groove with a kick on every beat. The song has an energizing feel to it. The song may be playing at a live concert. Given the presence of crowd noise and cheering, the song may be playing at a live concert. [10:00-20:00]  [20:00-30:00] "
3Z0rvpVDOmERviiXq8TRyf.npy,"[0:00-10:00] The song features a groovy bass line, steady drumming rhythm, keyboard accompaniment and other percussion hits. The song has a medium tempo and uses a groovy bass line, steady drumming rhythm, keyboard harmony and other percussion hits. The mood of the song is emotional and passionate. The song starts with a male vocalist singing over a groovy bass line, wide electric guitar chords, punchy snare layered with claps, soft kicks and shimmering cymbals. Yes, there are backup singers in vocal harmony in the song. [10:00-20:00]  [20:00-30:00] "
5eJ0DG8hnSZkSixPVQvNDl.npy,"[0:00-10:00] The song features a piano accompaniment, guitar solo, rhythm guitar, and a strong bass line. There is also a steady drumming rhythm. The song has a medium fast tempo with keyboard harmony, infectious drumming, steady bass lines and electronic guitar. The song is romantic, charming, emotional, and passionate. The instrumentation style and music decibels indicate that this song belongs to the pop genre. No, the song is an instrumental. [10:00-20:00]  [20:00-30:00] "
6vcdzohhBSbNdsZBh5IRpQ.npy,"[0:00-10:00] The song features a variety of instruments including drums, various percussion, a percussive bass line, keyboard, and guitar. The song has a medium tempo and is passionate and story-telling in nature. The mood of the song is soothing and romantic. The song starts with a solid drum introduction. Yes, there are backup singers in vocal harmony. [10:00-20:00]  [20:00-30:00] "
0YENB7i8JsiYrGnioZkyq2.npy,"[0:00-10:00] The song uses a keyboard for accompaniment, along with steady drumming and a strong bass line. The song has a medium tempo. The song has a melancholic and emotional mood. The song starts with a solid drum introduction. No, there are no voices or other instruments in this song. [10:00-20:00]  [20:00-30:00] "
